gid	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
YPR133WA	0.5706615	0.4769647	0.1867123	0.0637041	0.0433184	0.0387999	0.0307852	0.0220626	0.0300065	0.0255548	0.0195776	0.213257	0.51042	0.5476691	0.6795781	0.643182	0.6648793	0.634397	0.5409815	0.5601451	0.5526915
YDR185C	0.5613113	0.6036448	0.8581601	0.9471145	0.8707402	0.9270508	0.9187411	0.9611249	1.0068612	1.0636533	0.9873868	0.9028444	0.609355	0.5042196	0.4897202	0.5016001	0.5192572	0.439065	0.520657	0.4637045	0.4393671
YER082C	1.0727435	1.0132069	1.0007489	0.7615994	0.6515052	0.6227359	0.5890452	0.4297216	0.5386025	0.583281	0.5038767	0.7592289	0.9251157	1.0323334	0.9746526	0.939646	0.9470021	1.0064652	1.015824	0.9145474	0.9212247
YOR350C	0.5349857	0.4677954	0.2273696	0.097484	0.0364635	0.0226007	0.0124111	0.0060816	0.0064209	0.0105504	0.0155688	0.1004783	0.3387947	0.520218	0.5075685	0.4842541	0.4960613	0.4791814	0.4723115	0.5519753	0.606061
YDL216C	0.380859	0.3270145	0.5374644	0.6080985	0.6325639	0.6639179	0.655438	0.5853884	0.6725313	0.6623581	0.681139	0.7334335	0.5295089	0.4500705	0.4068032	0.4446206	0.4259319	0.4044358	0.4385368	0.4232383	0.4099767
YGR247W	0.4423137	0.3048525	0.1385549	0.0639819	0.0680933	0.0563759	0.0515249	0.0407519	0.0329223	0.0489614	0.0428464	0.082231	0.3004635	0.4454636	0.445148	0.4050713	0.4581287	0.4246362	0.3767824	0.3945807	0.4178749
YDR303C	0.9405895	0.8218078	0.4122109	0.1933501	0.0935474	0.0636382	0.0497866	0.0532874	0.0438618	0.0371922	0.0438545	0.3174995	0.7279558	0.8990938	0.9454215	1.001837	0.9449973	0.9187319	0.8839733	0.9461957	0.9660356
YGR158C	0.0125019	0.0015435	0.0032186	0.0118026	0.0292512	0.0339115	0.0396338	0.0991573	0.0923661	0.0893861	0.0854641	0.0330204	0.0123667	0.0256843	0.0178257	0.0074604	0.0146	0.0215925	0.0095397	0.0106998	0.0120731
YHL009WA	0.5853927	0.6233123	0.8525216	0.9856749	0.9962427	0.9368309	1.0031564	1.0560849	1.0170766	1.0396766	1.0623073	0.9042822	0.7037472	0.6163783	0.6126724	0.6181132	0.6064023	0.5527169	0.593377	0.559582	0.5700654
YJR041C	0.3308795	0.5277374	0.9625852	1.0188238	0.9374137	1.0430836	0.9593188	0.9268536	1.0450326	1.015753	0.9150788	0.962018	0.4782098	0.2719263	0.2399789	0.2614282	0.3518859	0.2907381	0.3671026	0.334878	0.272246
YAL058CA	0.641757	0.3739996	0.3334286	0.3141603	0.327117	0.3227713	0.3404821	0.3253833	0.3292106	0.3245074	0.3395241	0.6798146	0.6589662	0.6713796	0.6241637	0.6734979	0.6434985	0.5900748	0.6416476	0.6325512	0.6094221
YBR274W	0.9442625	0.9072472	0.6094462	0.4116544	0.2813604	0.2764113	0.2796205	0.2389454	0.2834666	0.2895607	0.2521004	0.4574798	0.8052516	1.0070641	0.9598943	0.8954181	0.8544047	0.9156354	0.9071377	0.9360081	1.014484
YNR057C	0.9460918	0.8635983	0.4237187	0.1554425	0.072843	0.0484766	0.0299216	0.0146621	0.0335451	0.0282327	0.0141828	0.2716431	0.7185585	0.8469123	0.8728227	0.9138964	0.9468678	0.8340491	0.9188822	0.9899592	0.9553693
YAL056W	0.1893755	0.1202621	0.4786547	0.6534707	0.6289297	0.6096873	0.6370449	0.7198029	0.6337953	0.6432139	0.6172026	0.47665	0.1533653	0.1432721	0.1526778	0.1536601	0.174928	0.1770454	0.2061552	0.1805022	0.1652126
YCR030C	0.4043949	0.3505851	0.137404	0.0519519	0.0458298	0.0511053	0.0263932	0.0291143	0.0362236	0.0365698	0.0309502	0.0782173	0.283365	0.4659829	0.4984727	0.4094838	0.4375282	0.4924703	0.4376771	0.4249343	0.4212681
YDR228C	0.430784	0.2966886	0.1001425	0.0788149	0.0765159	0.0806131	0.0835719	0.0984526	0.0870133	0.0982029	0.091434	0.0987042	0.3547866	0.4751101	0.5015066	0.4271362	0.4575623	0.4151506	0.3624409	0.4189174	0.4517904
YFR049W	0.7941584	0.5939159	0.1543917	0.0381278	0.0044022	0.0011576	0.00717	0.0045008	0.0077768	0.0068293	0.0074717	0.0306638	0.5261711	0.8231145	0.8728071	0.8367431	0.7734464	0.8018967	0.8204241	0.7736773	0.7833639
YNR031C	0.2919016	0.3484676	0.4388718	0.4995705	0.6288433	0.6251093	0.6690307	0.7461348	0.7566216	0.7437769	0.7373248	0.6403	0.5034167	0.3654471	0.3373587	0.3168368	0.3621574	0.3165211	0.2820513	0.3005257	0.3136102
YEL058W	0.4182604	0.5969824	0.5726174	0.5448965	0.6412883	0.685958	0.6710882	0.7601605	0.6173896	0.6809104	0.6807017	0.4313428	0.5200103	0.4568625	0.4849252	0.4118455	0.4233716	0.4117468	0.4168662	0.3912588	0.3912549
YHR058C	0.1186113	0.0556145	0.0314642	0.0166363	0.0283302	0.0123528	0.0063876	0.0093257	0.0211951	0.0095993	0.0148509	0.1239646	0.0916349	0.0538489	0.0458866	0.0427729	0.0881876	0.0658292	0.0672101	0.0905622	0.0671782
YER162C	0.5255774	0.3585486	0.150473	0.075308	0.0384072	0.0326277	0.0194196	0.0252119	0.0302578	0.0105823	0.0257499	0.2287925	0.4756475	0.5360965	0.4352836	0.456295	0.4522608	0.4238366	0.4427398	0.4913303	0.4627154
YBL019W	0.0200695	0.0114052	0.0154064	0.0604125	0.1160112	0.1948672	0.2291413	0.3063446	0.3108509	0.3766259	0.3615569	0.1270476	0.0305672	0.0114095	0.004101	0.0053713	0.000537	0.0048213	0.0066998	0.0039821	0.0089757
YDR229W	0.6801612	0.6546323	0.8269665	0.9358409	0.9138267	0.9530324	0.9460792	1.0159132	0.9910166	0.9448272	0.9105689	0.9022667	0.7403465	0.6615895	0.6118917	0.5890619	0.6287892	0.6071401	0.5873234	0.5569093	0.5693278
YHL017W	0.7304459	0.704219	0.3065664	0.0897775	0.0504987	0.0369168	0.0229543	0.0219465	0.0135648	0.0130763	0.0218145	0.1514686	0.5150559	0.7103922	0.756286	0.701459	0.6777131	0.6559715	0.6667944	0.7801333	0.7867716
YPL243W	0.36692	0.3240768	0.5756999	0.6573582	0.6816847	0.6674682	0.7049901	0.7530644	0.6835699	0.7781114	0.7043377	0.6862122	0.4492986	0.3411084	0.3079432	0.3349037	0.3186738	0.3192624	0.3647067	0.2962179	0.3247524
YDR214W	0.0718906	0.062592	0.0716535	0.1862867	0.3411329	0.4621874	0.4304468	0.6487348	0.4523229	0.4860237	0.5996978	0.1647412	0.0813251	0.0430988	0.0667447	0.0534277	0.0727554	0.0735691	0.0654975	0.0650079	0.0698108
YHR002W	0.4576064	0.4578799	0.6204621	0.8167366	0.8673673	0.9547083	0.8945591	1.0131199	0.9959506	1.012194	0.975076	0.693268	0.5233712	0.345887	0.3769326	0.379401	0.3352033	0.365383	0.3559424	0.3476193	0.3514873
YNL261W	0.7605658	0.7279672	0.2005005	0.0663566	0.0431264	0.0371677	0.0529987	0.0337128	0.0302184	0.0513733	0.0266158	0.1837676	0.6475536	0.7921796	0.8892001	0.8498199	0.8157681	0.8341029	0.7885497	0.8507642	0.8171754
YPR045C	0.3023465	0.2628529	0.1115478	0.043426	0.0213205	0.0113229	0.0174656	0.021788	0.0146636	0.0198595	0.0074217	0.0554466	0.1574324	0.2594842	0.3709114	0.3752446	0.3905989	0.3832021	0.3505579	0.3253913	0.3356392
YBR042C	0.3255545	0.3576277	0.5650035	0.8208269	0.8761895	0.8952502	0.8980152	0.9303635	0.8068449	0.9508922	0.964321	0.8047648	0.5822618	0.4198769	0.2944851	0.2868826	0.3302407	0.2689753	0.2991306	0.3030319	0.3363161
YBL025W	1.0501699	1.0387629	0.9450496	0.7257349	0.6123191	0.6067477	0.6005425	0.571964	0.6060322	0.6116385	0.630189	0.9259627	1.0084855	1.0468313	1.0282049	0.9903284	1.0099207	1.0608293	1.0001031	0.963375	0.9832929
YFL044C	1.0148472	1.007085	0.9250099	0.8917407	1.0258642	1.0255517	0.9910386	0.9659277	0.9803425	1.0314666	1.0522694	0.977048	0.9672187	1.0293332	1.0182405	1.0929641	1.029156	0.9600533	0.960219	0.967554	0.9621867
YER007W	0.5449946	0.8005522	0.8336837	0.7652214	0.7033033	0.7009936	0.7137725	0.7279026	0.7318967	0.6870644	0.7177629	0.4703744	0.5159576	0.5388639	0.5739094	0.4604245	0.4476642	0.5487842	0.5636877	0.5145633	0.5129482
YDR241W	0.1178147	0.0249528	0.0429485	0.0453805	0.0287386	0.0298239	0.0338804	0.0250721	0.0140529	0.0067967	0.0221119	0.1151964	0.0994322	0.1113673	0.1047697	0.104151	0.1251795	0.1007587	0.0870361	0.1040117	0.1038475
YGR127W	0.5222946	0.7551026	0.8529462	0.8950325	1.0091813	0.9270942	0.9139148	0.90988	0.9249206	0.9392386	0.8575592	0.6105702	0.5660314	0.5135079	0.532717	0.5451625	0.5378869	0.5765584	0.5401022	0.4937853	0.4760941
YPR056W	0.0161488	0.0046806	0.0081446	0.0198436	0.0153812	0.013978	0.013195	0.0107726	0.0112787	0.0185123	0.0220892	0.0173039	0.0231372	0.0170439	0.0341586	0.0171475	0.0261395	0.0277794	0.0357443	0.0246088	0.0235287
YDL176W	0.8875871	0.8219615	0.3461192	0.1560339	0.086911	0.093324	0.0617721	0.0584947	0.0615643	0.0526399	0.0568638	0.2701918	0.6587577	0.8279499	0.8380785	0.9059645	0.9229852	0.9095416	0.7812742	0.9199634	0.881785
YDL231C	0.5819721	0.5863866	0.6658501	0.7243002	0.8715273	0.8546487	0.7700129	0.7912839	0.8204344	0.8787417	0.9025419	0.7365644	0.5591493	0.5326717	0.569014	0.5273454	0.5404478	0.5362427	0.5461519	0.5495828	0.5460652
YNR032W	0.1389377	0.1674489	0.2115583	0.3012087	0.3595307	0.3411705	0.3734265	0.392014	0.4083303	0.3947453	0.360517	0.2618129	0.1253927	0.1036292	0.1346762	0.1088906	0.0999659	0.0991931	0.08556	0.0821857	0.0993253
YDR451C	0.8744671	0.8894455	0.9643189	0.9267797	0.9502789	1.0012577	1.0974976	1.0357891	1.002049	0.885111	0.9165057	1.0395491	1.0945487	1.0081539	1.046101	0.9651019	0.9414058	1.0322726	1.0592118	1.094656	0.9350603
YBR294W	0.6913951	0.7592377	0.8011581	0.7221549	0.7482277	0.9094198	0.8889386	0.8528634	0.8371586	0.7792577	0.838492	0.8419957	0.5809412	0.6151037	0.5247346	0.5630319	0.6182223	0.5795424	0.6127777	0.6226547	0.5210389
YHR059W	0.9214013	0.7870528	0.8694992	0.8835293	0.9775886	0.899098	0.9533807	0.8794357	0.8513383	0.9325053	0.9265344	1.0608369	0.9028357	0.9049017	0.9651877	0.9431353	0.8577475	0.8843151	0.96538	0.921415	0.8791174
YGL159W	0.0808055	0.1004197	0.2845218	0.4555605	0.532201	0.4950195	0.5769517	0.5764355	0.5484549	0.5926978	0.5077283	0.3658374	0.1802485	0.0931253	0.045009	0.0789153	0.0683292	0.0652682	0.0895795	0.0688184	0.0613877
YDL230W	0.9968383	0.9428157	0.9433689	0.9572103	0.9507715	0.9879583	1.052456	1.0501917	0.9553067	0.9985665	1.0773805	1.1081261	1.0366536	1.0186558	0.9623647	0.9312649	0.9643456	1.0131159	0.8821725	0.8982003	0.987668
YDL141W	0.081209	0.0737457	0.1333478	0.1549703	0.1729187	0.1619904	0.1124052	0.0995655	0.0984894	0.1236174	0.1587735	0.07514	0.0304619	0.0368732	0.0597938	0.0495655	0.0678494	0.0499351	0.0788143	0.0947666	0.0809568
YER139C	0.3173413	0.2845662	0.2653784	0.2691091	0.2136948	0.2505564	0.204529	0.2266074	0.2235631	0.2229651	0.2104352	0.2393511	0.2429143	0.2389029	0.2780057	0.2473585	0.2753391	0.2619461	0.2793896	0.3023106	0.2545907
YIL048W	0.6789034	0.8777927	0.7687735	0.7198619	0.7287039	0.8285006	0.7884137	0.7727668	0.8177413	0.8051034	0.7678122	0.5534944	0.6936627	0.715761	0.8167409	0.8213127	0.7957108	0.711189	0.6512964	0.7406321	0.715714
YDL142C	0.5564906	0.8523425	0.7936765	0.9769794	0.9632019	0.9121265	0.9210486	0.9426143	0.892751	0.9534112	0.9155398	0.5897793	0.4799179	0.4320094	0.5193288	0.6320834	0.5935253	0.6745776	0.6511947	0.5753725	0.563046
YER140W	0.8548694	0.5758627	0.505337	0.607391	0.5629026	0.577602	0.5769211	0.5285401	0.5865382	0.5815514	0.5174898	0.8147735	0.9310411	1.0063559	0.9775894	0.9258335	0.9346892	0.9638499	0.986192	1.0101529	1.0106377
YDR287W	0.2522419	0.290156	0.4537137	0.5850277	0.6401452	0.5413887	0.5449218	0.5834255	0.4977697	0.6014242	0.4966661	0.3224945	0.2340542	0.196669	0.2026689	0.2527846	0.2726851	0.2865048	0.270307	0.2456026	0.2605699
YDR286C	0.3387947	0.7712562	0.8489075	0.8841308	0.8987065	0.9432621	0.8895739	0.8877032	0.9773134	0.8894104	0.8113891	0.5723955	0.374037	0.288755	0.3576798	0.4286327	0.416112	0.4401669	0.4718401	0.4325172	0.4094046
YGL114W	0.0254872	0.0308772	0.0235453	0.0231784	0.0234717	0.0277166	0.0251009	0.0336989	0.0257247	0.0165605	0.0186011	0.0261881	0.0219204	0.0302734	0.0156345	0.0161861	0.025793	0.0286805	0.0155591	0.0324908	0.0321873
YLL067C	0.7455992	0.7509496	0.7381358	0.734988	0.6663794	0.7568664	0.7691813	0.7187619	0.7616132	0.7422257	0.7229286	0.7443554	0.7578376	0.7052571	0.664943	0.7563783	0.7433728	0.8151354	0.7343886	0.6305752	0.758421
YPR036W	0.0789499	0.0872063	0.0376704	0.0403188	0.0276424	0.019221	0.0081502	0.0021905	0.000889	0.0002846	0.0022747	0.040029	0.057315	0.0931111	0.0875609	0.0698768	0.0429357	0.063818	0.0667847	0.0443747	0.0299815
YCR065W	0.3857948	0.4410049	0.1834422	0.1632507	0.1322227	0.1533416	0.1026457	0.1104257	0.1485443	0.1201076	0.1283054	0.1095364	0.2422375	0.429822	0.548172	0.5312835	0.4379135	0.5331846	0.4106994	0.4021911	0.3337923
YLR089C	0.7906543	0.8271029	0.7867091	0.8117485	0.8726206	0.925871	1.0209945	0.9694888	0.8913567	0.9527696	0.9985889	0.8590451	0.850634	0.770838	0.8461716	0.7822818	0.7838119	0.7865712	0.818493	0.8240606	0.7981218
YLR090W	0.0129385	0.0120301	0.0154996	0.0077283	0.0117083	0.0149349	0.0094931	0.01648	0.014699	0.0186044	0.0155385	0.0206957	0.0150949	0.005828	0.008788	0.010628	0.0113978	0.0112817	0.0093732	0.0159303	0.0022917
YMR231W	1.001602	0.68739	0.6570937	0.5926369	0.5088776	0.4490853	0.3952771	0.3954016	0.4382189	0.4700299	0.4470573	0.6058666	0.7544336	0.8548999	0.8976068	0.9765284	0.9277564	0.981347	0.9541894	1.0660023	0.988741
YLR035CA	0.0356583	0.0034365	0.0264975	0.0244467	0.0244372	0.028274	0.0268149	0.0336143	0.0249002	0.0510433	0.038657	0.1882194	0.0519331	0.0282895	0.0230196	0.0182032	0.0146659	0.0284393	0.01624	0.0122994	0.0150844
YAR009C	0.0876825	0.0904628	0.1875159	0.3480499	0.4985247	0.565556	0.5298811	0.5557561	0.5509405	0.5372021	0.5473025	0.4739648	0.3885654	0.2640703	0.179409	0.120701	0.1039548	0.0878494	0.0763468	0.075879	0.0806474
YDL107W	0.315998	0.1568055	0.237707	0.2643961	0.3128992	0.2826674	0.2870272	0.2412944	0.2735958	0.3194672	0.2615387	0.6254582	0.5734873	0.3731189	0.2945463	0.3124466	0.2373858	0.294254	0.268745	0.2852774	0.2605661
YBL071C	0.1315691	0.167483	0.1578449	0.1167407	0.1216525	0.1737199	0.191481	0.2054761	0.2056989	0.1782432	0.1964975	0.1786546	0.2116367	0.2024049	0.1685639	0.172076	0.1899531	0.1879365	0.2095173	0.1897051	0.2006064
YAR042W	0.5132092	0.8229645	0.8545883	0.8801823	0.9482444	0.8874771	0.8630632	0.8773647	0.901094	0.8882161	0.8945132	0.4192101	0.4211466	0.4490631	0.5259846	0.6546951	0.55366	0.4752545	0.5399119	0.541341	0.5556861
YHR132C	0.1805372	0.2213377	0.2337069	0.1164418	0.0569969	0.0536039	0.0711113	0.0504444	0.0716502	0.085002	0.0679351	0.0666193	0.0520109	0.1254285	0.2326451	0.3624244	0.2956985	0.243844	0.3072082	0.2531068	0.2908201
YPR046W	0.1420447	0.1167717	0.1663019	0.2823777	0.4916324	0.6128026	0.5801941	0.7532172	0.5842848	0.5401108	0.5741979	0.5749109	0.3883296	0.1818052	0.1216411	0.1218673	0.1188968	0.096079	0.1199371	0.0904617	0.1601529
YDR246W	0.8455633	0.5210647	0.4427021	0.3545774	0.3109234	0.3012448	0.2416302	0.2669275	0.2466807	0.3276369	0.2455125	0.4891271	0.546439	0.655999	0.8434976	0.9365046	0.9052177	0.9147387	0.9512457	0.8983861	0.8859885
YDR161W	0.8647651	0.9058631	0.95042	0.9850035	0.9801347	0.9654417	1.002055	0.9966801	0.9686347	0.9852192	0.9345793	0.8671284	0.8773658	0.9217139	0.8986004	0.8768061	0.8379264	0.8799116	0.9496232	0.9200273	0.9082419
YIR018W	1.0306891	0.9403917	0.9419058	1.0313736	1.0014335	0.9910123	0.9908888	0.9351748	0.9353566	0.9483686	1.0059219	1.0458912	1.0217767	0.9357221	0.9599869	0.9594626	0.9390106	0.9570421	1.0005446	1.0017658	1.0577352
YLR272C	0.7695859	0.7265833	0.7337212	0.7327986	0.6600132	0.627525	0.5794742	0.5324885	0.545408	0.5365169	0.5392264	0.517859	0.5858213	0.6910237	0.6707881	0.6537995	0.638415	0.7279222	0.7388492	0.7073714	0.6503329
YDL160C	0.4204754	0.4317755	0.4134154	0.4300877	0.3950492	0.3665454	0.3689317	0.3945932	0.4484416	0.47513	0.478746	0.4738416	0.4383344	0.4223164	0.4849822	0.5146167	0.4890187	0.4315487	0.417637	0.4267056	0.3991132
YDL159W	0.5086642	0.6819909	0.5325674	0.5388946	0.4809074	0.4688727	0.4719514	0.4235979	0.4214004	0.4161937	0.4919123	0.4842586	0.4826287	0.4343706	0.5136426	0.5982475	0.6256348	0.5782	0.7097767	0.5543792	0.6378998
YPR074C	0.1664702	0.2248999	0.2409071	0.5024245	0.6748826	0.7357844	0.7427022	0.7459928	0.696655	0.6757159	0.6416544	0.6918009	0.626907	0.4510295	0.235743	0.1635741	0.1357179	0.1250053	0.1533694	0.201393	0.1223912
