gid	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000
YGR149W	0.1282041	0.172071	0.1485321	0.0938479	0.0617684	0.0587132	0.0665057	0.060836	0.0585659	0.0487186	0.0665886	0.0757294	0.07608	0.0645492	0.1407755	0.1446085	0.1345609	0.1051281	0.1419375	0.1218755	0.1320489
YIL177C	0.4065031	0.3041373	0.3797709	0.290849	0.3488922	0.3525294	0.4109709	0.3943813	0.4285807	0.436314	0.4327232	0.3726511	0.4216229	0.3734161	0.3817678	0.3533954	0.3336662	0.333629	0.3320909	0.289151	0.3074135
YGR148C	0.2739117	0.3461065	0.4353117	0.5050385	0.5870354	0.7233149	0.6302713	0.6282576	0.5822675	0.5567443	0.5244342	0.5537607	0.6035845	0.4948793	0.3910136	0.3549078	0.2897778	0.2943763	0.3582147	0.3518107	0.3404827
YLR461W	0.0006915	0.0008459	0.0005355	0.0010946	0.0476553	0.0888809	0.1899457	0.2886364	0.3036252	0.3370013	0.3669557	0.2865104	0.1419575	0.0454725	0.0091694	0.0020396	0.0039491	0.0015739	0.0013596	0.0001988	0.0020028
YHL049C	0.4818388	0.4668612	0.4629284	0.4527097	0.4559745	0.4969732	0.5102356	0.5104789	0.4950021	0.4861373	0.4557682	0.4660617	0.4626031	0.4751198	0.4329496	0.4931791	0.5063545	0.4253686	0.44692	0.4820422	0.5154005
YLR460C	0.1303431	0.1271567	0.0907338	0.0596752	0.0641209	0.0520306	0.0406648	0.0228483	0.0213273	0.0183607	0.0322347	0.0159516	0.031738	0.0508052	0.0565822	0.1429994	0.1555455	0.1239724	0.1393279	0.1235505	0.1186048
YNL339C	0.8467208	0.8703925	0.900834	0.9802731	0.9353322	0.9524378	0.9180821	0.9456016	0.9265595	0.8860847	0.922779	0.7704985	0.715841	0.7045072	0.8056794	0.828546	0.8597603	0.8836408	0.8392748	0.8557612	0.8487434
YPL283C	1.0754443	0.9622892	1.0222245	0.9223357	1.0027649	0.9428662	0.9165665	0.8817465	0.9624961	0.9263041	0.8233417	0.9510128	1.0636129	0.9766312	1.0505573	0.9744817	1.0090593	0.9828485	0.9640786	0.9158784	0.9329555
YLR013W	0.0599571	0.0797021	0.1115458	0.0840978	0.1191629	0.1049044	0.072522	0.0736959	0.0936061	0.1097544	0.0959033	0.0787793	0.0761942	0.0796829	0.0864752	0.0968808	0.0769016	0.0956814	0.106744	0.0969985	0.1033506
YNL336W	0.5224157	0.5475795	0.6665884	0.8154526	0.9357587	0.8747542	0.9844129	0.9603539	1.006579	0.9959408	0.9624456	0.9117571	0.7412549	0.6527472	0.6027633	0.5539055	0.5026126	0.4760234	0.4652313	0.5132976	0.5292368
YLR462W	0.7296924	0.8065	0.7768055	0.8724401	0.750268	0.7854153	0.7541553	0.8199328	0.7574154	0.746969	0.6897764	0.7447947	0.7619826	0.7667434	0.7547107	0.8069715	0.8910046	0.8286068	0.8342485	0.7287481	0.7722909
YEL075C	0.0420074	0.0313764	0.0336744	0.0359808	0.0223083	0.026889	0.0290189	0.0249346	0.024783	0.0233882	0.0317653	0.043595	0.0472818	0.0264289	0.017431	0.0344047	0.046857	0.0256938	0.0366019	0.0376335	0.0296886
YJL225C	0.004336	0.012052	0.0096222	0.0119937	0.0130409	0.0163331	0.0117802	0.0099584	0.0028389	0.0013885	0.0048723	0.0098675	0.0126952	0.0133474	0.0134172	0.0136175	0.0068559	0.0112452	0.0115486	0.0122286	0.0069061
YEL074W	0.40235	0.426638	0.4123618	0.41423	0.3873643	0.3662378	0.38938	0.3245414	0.3016144	0.3171631	0.3757151	0.3778887	0.390445	0.4073896	0.3488769	0.3755453	0.3765306	0.4025791	0.3540964	0.3651056	0.398376
YDR544C	0.8813509	0.9430277	0.887323	0.8696352	0.8533019	0.8978899	0.923529	0.8705764	0.895467	0.861072	0.8156606	0.9039759	0.9532473	0.9007452	0.8967408	0.9454061	0.9090602	0.8937258	0.9389411	1.0379886	0.8845972
YDR545W	0.1286217	0.1564925	0.2613244	0.331122	0.3980367	0.4510108	0.4335157	0.3708712	0.3493692	0.3433432	0.4440764	0.3452595	0.2391389	0.1893017	0.1702713	0.2101102	0.2015069	0.2455664	0.2385554	0.1995799	0.1584289
YMR182C	1.0178879	0.3660005	0.2572947	0.2220659	0.2163964	0.2425514	0.1886847	0.1947203	0.1887578	0.1940623	0.1966641	0.8097718	0.9083939	0.8414746	1.001807	1.0505346	1.0014687	1.0475842	1.0693281	0.9089731	1.0166902
YNL337W	0.6829177	0.6319591	0.5474058	0.4751338	0.4437807	0.4602595	0.5397967	0.5425194	0.4494116	0.4893672	0.5072629	0.5234957	0.7062894	0.738066	0.6131494	0.5839338	0.5790076	0.6211412	0.6745037	0.6264322	0.6334017
YML113W	1.0253055	0.6721887	0.6183848	0.571396	0.6183328	0.5292216	0.4849902	0.5588836	0.5362044	0.536844	0.5443911	0.8193262	0.9354994	0.9191664	1.0130173	1.090929	1.0373681	0.9748026	0.9893478	0.9993184	1.048464
YDR543C	0.0550751	0.0244188	0.0330145	0.046841	0.0507226	0.0722716	0.077149	0.0502668	0.062918	0.0566515	0.0859032	0.1249164	0.1023167	0.091425	0.051762	0.0472669	0.0389503	0.04249	0.0350645	0.0266049	0.0209833
YGL013C	0.7486627	0.7681059	0.8264824	0.8330172	0.7625439	0.774459	0.849741	0.8272819	0.7767298	0.7933372	0.7214772	0.7341688	0.8053748	0.7768577	0.8395822	0.7452617	0.7950105	0.7834407	0.7792729	0.7196904	0.7607386
YPR202W	0.6162106	0.5965089	0.4762197	0.3941918	0.3575461	0.3716363	0.3093595	0.385428	0.3806195	0.3783904	0.3224277	0.4294795	0.5596009	0.5792946	0.561566	0.5656675	0.5881877	0.5921586	0.5669414	0.6224368	0.5675696
YDL083C	0.6320344	0.5683078	0.4666823	0.4730715	0.3776065	0.3925662	0.369959	0.3739334	0.3852284	0.4360685	0.3891876	0.4517947	0.5808863	0.5871078	0.6465954	0.645067	0.6156039	0.6133047	0.5761708	0.6144853	0.711939
YDL082W	0.0424087	0.1729285	0.2430408	0.2386449	0.2800395	0.2483077	0.2469039	0.2383849	0.2888444	0.2274193	0.300943	0.1146742	0.065081	0.0696125	0.037505	0.0253758	0.0447764	0.0369933	0.0598301	0.0667183	0.0482444
YHR091C	0.5274599	0.151072	0.0652475	0.0457194	0.0496744	0.0542566	0.0543455	0.049076	0.0560424	0.0511886	0.0641637	0.4130014	0.5449606	0.5209615	0.4993447	0.5410776	0.506136	0.5188831	0.5047481	0.5375975	0.4941867
YJL110C	0.4248576	0.6236959	0.5428412	0.445588	0.4954028	0.4511688	0.5064662	0.4583401	0.5026444	0.5170744	0.5125808	0.0723011	0.0129395	0.0587896	0.1914891	0.2941355	0.2064597	0.2866292	0.2303192	0.2466285	0.1942891
YGR296W	0.7439591	0.7317769	0.8189026	0.8246884	0.7898841	0.8290923	0.8017603	0.7701541	0.6893002	0.7506034	0.82721	0.7880339	0.6778505	0.5964394	0.4824841	0.6156352	0.6112006	0.7085207	0.6684698	0.6193457	0.6172057
YBL111C	0.6880756	0.7402633	0.8275557	0.8122268	0.8678428	0.869103	0.8169321	0.8709454	0.8651867	0.8309581	0.875633	0.7304737	0.7237372	0.6783919	0.6620025	0.6741942	0.7396453	0.7009264	0.6588178	0.6659044	0.6175955
YDL170W	0.9508346	0.4942035	0.366959	0.3049791	0.3082767	0.3186425	0.3434455	0.3615628	0.3380714	0.3196021	0.2951123	0.9268532	1.0383382	0.9671399	1.0047379	0.9152958	1.0117446	1.0280958	0.9760895	1.0126602	1.0111823
YLR463C	0.1501551	0.1592561	0.1740038	0.2492375	0.2093365	0.1559535	0.235217	0.2323362	0.2147152	0.1966736	0.2118355	0.1865368	0.1380326	0.1090107	0.1027556	0.1166827	0.136512	0.1312877	0.1547313	0.1124434	0.1413543
YLR467W	0.3051741	0.1293419	0.1281652	0.1514753	0.124315	0.1342183	0.1109355	0.0791125	0.1192175	0.1438404	0.1312203	0.2314198	0.2433201	0.3083337	0.3580606	0.2911989	0.3348691	0.3339385	0.2461296	0.2566543	0.2344421
YKL109W	0.0061195	0.0070696	0.0032391	0.0038817	0.0005672	0.0006469	0.0036071	0.0039368	0.003437	0.0023188	0.0019836	0.0183631	0.0103517	0.0013297	0.0	0.0011482	0.0046049	0.0048305	0.0001878	0.0120286	0.0082846
YLR465C	0.8590206	0.9097446	0.8333184	0.7865548	0.7579081	0.8021962	0.8624657	0.8385382	0.8599458	0.8663949	0.7241964	0.8408023	0.9363923	0.9046826	1.0021894	0.9497417	0.9663104	0.930072	0.9878267	0.9073428	0.8842215
YER189W	0.9017507	0.9841698	1.0280208	1.0741275	1.0460422	0.9367279	0.9882867	1.0478711	0.9345883	0.946152	1.0104477	1.0296058	0.9492503	0.8648573	0.8981407	0.880053	0.890415	0.9276433	0.9107124	0.9148608	0.9297625
YIL175W	0.0005722	0.1152795	0.1354855	0.1367962	0.1650041	0.1535046	0.1517236	0.1669744	0.1645617	0.1458707	0.1560138	0.0688037	0.032819	0.0205367	0.0071382	0.0086805	0.0083054	0.0047497	0.0042417	0.0164376	0.0133497
YBR182C	0.7546164	0.7406232	0.6247066	0.7330483	0.6864783	0.6982904	0.7337035	0.7930467	0.7584715	0.6360414	0.6653406	0.6688158	0.6966615	0.6812406	0.6890699	0.6305147	0.6346203	0.5613935	0.6296174	0.6561131	0.6500844
YIL174W	0.7219085	0.6699923	0.4094692	0.274648	0.3143459	0.291453	0.2963347	0.2777905	0.2469552	0.2824539	0.3277039	0.3956277	0.4769049	0.5850602	0.6836838	0.6540038	0.6871369	0.640569	0.7073109	0.6929949	0.6866911
YER188CA	0.1755815	0.2031729	0.279477	0.2668223	0.290698	0.2923455	0.2637174	0.3322327	0.3117044	0.2967932	0.30079	0.22983	0.2044348	0.204805	0.2091535	0.2073388	0.2016577	0.1653563	0.1530754	0.1454201	0.1618021
YBL112C	0.3533358	0.4264897	0.3883462	0.3692522	0.3818025	0.2975932	0.3454295	0.3326244	0.3409667	0.2881297	0.3334262	0.3297529	0.3200768	0.4034533	0.3917115	0.4165422	0.4257295	0.4045727	0.4841292	0.4795639	0.4604867
YPL248C	0.5219837	0.467798	0.5206715	0.5519988	0.6057014	0.626034	0.5770283	0.6065112	0.5979644	0.6000921	0.594581	0.580609	0.5256598	0.5118498	0.544748	0.5212285	0.5016484	0.5236211	0.5185378	0.4710855	0.4905404
YBL109W	1.057076	1.0137248	1.0331708	1.0191177	0.9292073	0.8794803	0.8872663	0.8908072	0.9453496	0.9156175	0.8562462	0.9728807	0.9510481	0.8667109	0.7790762	0.906294	0.9927591	1.0133909	0.9598448	0.9184815	0.9764411
YBL113C	0.5852725	0.5476505	0.4944459	0.5232227	0.6018083	0.6273313	0.5727706	0.5157937	0.6134329	0.5569222	0.5659527	0.6101201	0.6984235	0.6446177	0.621796	0.6953153	0.6193412	0.58647	0.5955064	0.6092697	0.5580564
YKR034W	0.8862975	0.7617407	0.6610667	0.6961965	0.7897248	0.7536913	0.6920867	0.6804756	0.7739827	0.696868	0.7041779	0.6377397	0.9161233	0.8916536	0.9248615	0.9405565	0.8911116	0.905424	0.9056368	0.774654	0.8226033
YCR041W	0.7808588	0.7859546	0.8096944	0.3843222	0.4600948	0.1543223	0.4104552	0.6675666	0.7506641	0.5021337	0.5615834	0.7590644	0.7973134	0.780536	0.7663757	0.7579745	0.735701	0.7311843	0.802562	0.8225986	0.7517798
YCR039C	0.5047413	0.5788012	0.6838431	0.5815315	0.5381774	0.5779243	0.5354294	0.5633732	0.5316975	0.5269867	0.6032536	0.6606788	0.3946321	0.4356097	0.500618	0.5212276	0.5346387	0.4510934	0.4916002	0.5323741	0.5315053
YJL056C	1.0875739	0.4568371	0.2493743	0.2236844	0.1875783	0.2095191	0.2181247	0.1976317	0.1941829	0.173779	0.1831773	0.7567133	0.8522081	0.8461704	0.9458227	0.9479192	0.9855088	1.021843	0.9665674	0.9314522	0.9566068
YCL065W	0.2766525	0.240484	0.3442004	0.4198215	0.5115933	0.5679835	0.5138731	0.5808623	0.6085817	0.5541144	0.5351805	0.4662229	0.33202	0.261467	0.2356108	0.2474038	0.2281219	0.2088655	0.2049568	0.2319214	0.2018355
YCR040W	0.9325955	0.9691203	0.8522536	0.9373671	0.8908029	0.9578233	1.0366483	0.8596151	0.9466586	0.9763521	0.9206649	0.8744892	0.8953206	0.9222583	0.9768444	0.9576277	0.9247159	0.9844771	0.9798972	0.9033347	0.9317059
YBR057C	0.712522	0.7524121	0.7884314	0.8001695	0.7753403	0.8087801	0.8199398	0.7661551	0.8030209	0.7526345	0.6836927	0.6511185	0.7034781	0.7326899	0.7730418	0.7755384	0.8308461	0.7251371	0.682535	0.7330595	0.7350272
YCR105W	0.8803443	0.9105835	0.8053842	0.8795556	0.8824395	0.9005798	0.9061136	0.9506972	1.014657	0.9673079	0.8601585	0.8172787	0.9023956	0.9115042	0.9670115	0.8803892	0.8679156	0.8753033	0.8824069	0.8645754	0.8522642
YIL101C	0.869779	0.8070902	0.7713348	0.8294254	0.8816671	0.8512734	0.8978787	0.7830151	0.8277483	0.8556358	0.8899687	0.8441661	0.8847141	0.9115831	0.8955665	0.8766126	0.7980589	0.8128727	0.8073465	0.7946272	0.7400729
YER190W	0.7286509	0.6715699	0.656529	0.7393808	0.5909566	0.6212563	0.5490766	0.5399035	0.495073	0.5690343	0.5301409	0.5125437	0.5694997	0.6505644	0.6657491	0.6939649	0.8207159	0.7670885	0.8309951	0.725212	0.7200327
YCL066W	0.2188962	0.35099	0.3885534	0.5617071	0.5400959	0.5132403	0.5371057	0.5038715	0.5207649	0.4457998	0.5876476	0.3345011	0.208279	0.1899309	0.3041729	0.3217519	0.2463464	0.2726084	0.2834848	0.3749406	0.3324782
YCL067C	0.2550323	0.4504669	0.3115412	0.2620035	0.2331263	0.3118839	0.3165485	0.2828879	0.2541597	0.2247091	0.2267754	0.0804154	0.1349453	0.2097162	0.2334047	0.250166	0.2808275	0.2701918	0.2251094	0.2585847	0.2979003
YPR196W	0.9158492	0.9547621	0.9448679	0.9712125	0.9818249	0.9881255	0.9395004	0.9573416	0.9495927	0.9888054	0.9914375	0.9349902	1.0034731	1.0035019	1.0402091	1.0341257	1.0317331	0.9398868	0.9358563	0.9354625	0.9582695
YJR044C	0.3886201	0.4558488	0.4567515	0.3988083	0.489509	0.5231088	0.4809709	0.4629859	0.4627584	0.4283184	0.5163337	0.4863773	0.47502	0.4177254	0.4389779	0.4485532	0.4352518	0.4325546	0.4308059	0.4420746	0.3976242
YDL210W	0.0070757	0.3018697	0.4557571	0.5602085	0.6514703	0.6909185	0.7550193	0.7885079	0.7777601	0.7449928	0.7182547	0.2953858	0.0904503	0.0441193	0.0115589	0.0064728	0.001186	0.0	0.0030592	0.00042	0.000167
YOR138C	1.0592598	0.3075485	0.1439998	0.0869094	0.0760493	0.0643097	0.0594339	0.0962274	0.0562425	0.0610015	0.0704342	0.8338046	0.9667694	0.9543659	0.9684662	0.9626409	0.9712997	1.028089	0.9644751	0.9243168	0.8873414
YIL002WA	1.0063623	0.8554994	1.002849	0.9569546	0.8266563	0.9013528	0.9352946	0.9144605	0.9027565	0.8951626	0.8830486	0.9229748	0.9432333	0.8573635	0.987021	0.9729065	0.9964513	0.9567953	0.8678969	0.9117498	0.8947103
YLR098C	1.079408	0.9996978	1.063098	0.9804388	0.9683189	1.0529741	1.0024893	0.9699995	1.0078918	1.0196994	1.0344351	0.9621909	0.982875	0.9868778	1.0057847	1.0290876	1.0041773	1.0606532	1.0134712	1.0143178	1.0597128
YMR135WA	0.8387569	0.7008263	0.6498423	0.554435	0.5753671	0.5878985	0.6069029	0.5909905	0.5967864	0.5929205	0.6524361	0.6236125	0.7007938	0.7852492	0.8123459	0.7760705	0.7907685	0.818342	0.7712989	0.7904113	0.7229833
YNL294C	0.5596585	0.4991174	0.6607542	0.7528501	0.8004836	0.763334	0.8835086	0.800345	0.8471885	0.7470572	0.7302129	0.6966954	0.7543392	0.7525822	0.7513397	0.6570563	0.638814	0.6274414	0.6451167	0.5875824	0.5863574
YKR105C	0.9378413	0.9568668	1.0302137	0.9675859	0.998282	1.0034883	1.0423822	1.0046539	0.9841103	1.0230899	0.9939733	1.0735585	1.0232867	1.1371477	1.0745333	1.0229575	0.9848116	1.0013429	1.0805321	1.0815189	1.0768823
YKR106W	0.2341846	0.2191265	0.2012107	0.2262566	0.2082454	0.1729513	0.2275167	0.2138732	0.236905	0.1874036	0.2366258	0.2345736	0.256546	0.2889264	0.3043716	0.3126647	0.2723871	0.2554747	0.2562602	0.2107779	0.1882716
YNL293W	0.2766635	0.2933028	0.243796	0.1478064	0.0727199	0.052662	0.0433731	0.0569718	0.0638855	0.0579409	0.0496513	0.0421674	0.0442612	0.1342896	0.2025042	0.2300016	0.2674491	0.2549957	0.2441586	0.253066	0.2407228
YCR096C	0.0986814	0.2054963	0.320624	0.4071419	0.4332873	0.5098999	0.5388039	0.4812059	0.5054398	0.5659419	0.5094266	0.4060541	0.1980935	0.1081447	0.0921127	0.0664814	0.0963635	0.0918174	0.0920977	0.1016331	0.1057923
YKL209C	0.4056469	0.1922899	0.2114705	0.1681658	0.1470067	0.1208189	0.0712188	0.0877959	0.0860066	0.1080834	0.077928	0.1054637	0.1037951	0.1234841	0.1803568	0.2962127	0.3154809	0.3085216	0.3084521	0.3264054	0.2849559
YPR199C	1.0082148	0.3472525	0.1746045	0.1804938	0.1636612	0.1393693	0.1657742	0.1557418	0.2190549	0.1965972	0.1874958	0.8152741	0.9483262	1.0469309	0.950053	0.9416598	1.036287	0.9459679	1.0395672	1.0114876	0.8859583
YCR107W	0.7017865	0.6227622	0.5654487	0.6876321	0.7112514	0.7449363	0.6723614	0.6598695	0.7031837	0.7263893	0.7592386	0.7226678	0.7416622	0.6668928	0.6177665	0.6338707	0.6557601	0.6480428	0.6955718	0.6423271	0.6884626
YLR466W	0.1358562	0.1071455	0.1637989	0.1391404	0.1289178	0.1064413	0.0946512	0.0931172	0.0946901	0.1275746	0.111695	0.1413672	0.1460046	0.1739982	0.1541105	0.1573959	0.130188	0.1143031	0.134347	0.1326645	0.1230959
YJR149W	0.9130237	0.7846728	0.6710394	0.5371664	0.4496772	0.5083839	0.4296819	0.4416117	0.405259	0.4257466	0.3894475	0.4474673	0.4869681	0.6706948	0.7254934	0.798195	0.7311366	0.7133998	0.8435613	0.7168208	0.7433368
YDL223C	0.4417299	0.614316	0.6205394	0.6304983	0.6586174	0.6824666	0.674584	0.5933722	0.5879413	0.605263	0.6538373	0.3502257	0.323065	0.3108979	0.3794471	0.4054369	0.4000455	0.404321	0.3822855	0.3319061	0.3485264
YLR464W	0.5037606	0.5392177	0.4634797	0.4244016	0.4139354	0.4037182	0.4353321	0.4566645	0.4616137	0.4520249	0.4499335	0.4645986	0.4804213	0.4148067	0.3505347	0.4336244	0.4724374	0.4019342	0.4877544	0.4141198	0.4278135
YHL045W	0.4147073	0.3768249	0.3565504	0.4202246	0.3414685	0.3017659	0.2871673	0.3211904	0.331403	0.313495	0.2555828	0.2723392	0.3123048	0.39029	0.3388685	0.3301254	0.2954852	0.3412179	0.3117901	0.3190094	0.3013978
YJL188C	0.6807656	0.6446532	0.4899437	0.3255731	0.2248123	0.1699666	0.1888167	0.2475255	0.1497993	0.1765312	0.110584	0.2011026	0.4651026	0.6092448	0.5951336	0.6181362	0.6252155	0.6268251	0.7220468	0.6929035	0.7089767
YGR166W	0.5092448	0.4366925	0.3811314	0.4204741	0.4507673	0.4422708	0.3810745	0.4272457	0.4439657	0.4235588	0.4307247	0.4467503	0.4184259	0.3957888	0.3145665	0.3828414	0.4128166	0.4411959	0.3997354	0.4204392	0.4700017
YHL046C	0.7560109	0.8560186	0.8549744	0.9023627	0.9532716	0.8806906	0.8687209	0.8528259	0.8921379	0.8714282	0.8845767	0.7290465	0.7767993	0.8599169	0.9153456	0.8915065	0.8350837	0.908453	0.8946831	0.7935316	0.8730835
YGR019W	0.0563936	0.0836359	0.2337187	0.5865601	0.8782597	0.9282384	0.8682029	0.9390965	0.8449075	0.9738968	1.0248844	0.987135	0.8816546	0.4796252	0.213512	0.078295	0.0904263	0.0992506	0.1020157	0.0691516	0.1039152
YPL187W	1.0060455	0.2653001	0.2100515	0.2169413	0.222454	0.2360165	0.2340758	0.2454174	0.2557502	0.2215312	0.1987284	0.9795977	1.0299776	0.995572	1.0131694	0.9203468	0.8591429	0.921735	0.9379372	0.9440753	0.9519431
YHL024W	0.7321202	0.633287	0.8311054	0.8884557	0.9914877	0.9926673	1.0092878	0.9788491	1.04323	0.9666827	0.9742841	0.8981791	0.8062919	0.7715461	0.6702017	0.6962722	0.641579	0.7006677	0.7033108	0.6659651	0.5980984
YKL148C	0.0089703	0.4592497	0.5611488	0.6517402	0.8835598	0.9483149	0.9751266	0.8965325	0.9491783	0.9940113	0.8635494	0.495483	0.3937359	0.1522828	0.0450897	0.0113173	0.007206	0.0012757	0.0021985	0.0004974	0.0032809
YHR194W	0.4549059	0.8067	0.9369856	0.9281932	0.9058274	0.8979605	1.0570549	0.881266	0.8729248	0.8192265	0.8665273	0.4634885	0.3630146	0.4626059	0.4098508	0.4301333	0.4249837	0.4106165	0.4327766	0.4438594	0.445052
YHR193C	0.3380621	0.08258	0.0241423	0.0086862	0.0055751	0.0040034	0.0016122	4.15e-05	0.000327	0.0012018	6.59e-05	0.0578253	0.1885907	0.2442933	0.326269	0.3557952	0.3108795	0.3168512	0.3282592	0.3584543	0.3130711
YLR082C	0.4506901	0.4723268	0.6790889	0.8006381	0.9454166	0.892471	0.8894195	0.9278491	0.9734018	0.993007	0.9341452	0.8749171	0.6572917	0.5596398	0.5285112	0.5236015	0.449295	0.5212618	0.4954902	0.4745597	0.470775
YGL158W	0.2942963	0.1180346	0.048554	0.0633714	0.1538531	0.1778159	0.1931939	0.2196037	0.1774059	0.244917	0.2238058	0.5458365	0.4940623	0.4192105	0.3041489	0.20973	0.2243423	0.2433459	0.2026129	0.2312254	0.2438221
YNL079C	0.1268836	0.1341761	0.1074483	0.0872518	0.0916761	0.075434	0.0792883	0.0700966	0.0666207	0.0838625	0.0706081	0.0589011	0.0818791	0.076801	0.1090311	0.1636014	0.1812356	0.1407404	0.1267029	0.0945066	0.1181901
YMR325W	0.5778006	0.8161685	0.8177128	0.8581861	0.8693125	0.9112155	0.8279391	0.8685923	0.8778074	0.8914894	0.8792561	0.6746799	0.6368345	0.5479912	0.6119827	0.6189868	0.5769615	0.6795827	0.6621334	0.6526076	0.5984344
YNL078W	0.968151	0.5680136	0.431331	0.4607516	0.4567333	0.4129164	0.4735807	0.5107139	0.5064522	0.4453038	0.4105308	0.8793496	1.0361968	1.0370676	1.0412909	0.9990703	0.9641873	1.0372	0.9973891	0.9414397	0.9571385
YNR016C	0.9442668	0.3955853	0.1677888	0.1414651	0.1138272	0.1182831	0.0993296	0.124096	0.1218206	0.102865	0.1138911	0.7183532	0.8517164	0.8733512	0.8819931	0.9015769	0.9762154	0.9275182	1.0465077	0.9748972	0.9327731
YPR203W	0.5898804	0.5751853	0.3871556	0.3429385	0.293846	0.3034851	0.2800247	0.2581914	0.2458436	0.2858441	0.2503602	0.3243266	0.4536269	0.5161993	0.5242461	0.5112486	0.5379962	0.6030943	0.4949117	0.5611328	0.5239186
YPR002CA	0.7428624	0.6287181	0.561154	0.4452628	0.4389966	0.4172548	0.3190477	0.3094791	0.3180771	0.3473681	0.4091064	0.6364456	0.6284229	0.6495942	0.8176196	0.8243703	0.8458652	0.8885299	0.8112824	0.7765655	0.8036783
YLR162WA	0.4365437	0.4076675	0.4441713	0.4180452	0.4381825	0.4367391	0.3966754	0.422888	0.3952398	0.358742	0.408788	0.4580575	0.5185831	0.4645985	0.3678321	0.3672082	0.4277532	0.4156677	0.401079	0.4223224	0.3828288
YMR324C	0.514689	0.4792115	0.4026045	0.2280082	0.2011443	0.1578626	0.1522874	0.1524646	0.1182141	0.1675051	0.1525291	0.1328791	0.1376798	0.2231822	0.2768685	0.3674204	0.4507863	0.4221054	0.3052758	0.339117	0.3828599
YIL018W	0.2858298	0.2764154	0.3382343	0.3277671	0.3300132	0.3418694	0.2695393	0.3013153	0.2647068	0.2764422	0.2659557	0.2936273	0.3381821	0.278093	0.2791476	0.3062867	0.3250778	0.2976138	0.3032067	0.3166116	0.3238564
YIR029W	0.6808182	0.6571717	0.5766616	0.5026649	0.5762156	0.461474	0.4476609	0.4339784	0.5251777	0.448616	0.4714445	0.4734745	0.536564	0.6228639	0.6651217	0.6765756	0.614641	0.6976546	0.6897569	0.6576497	0.6866296
YKL178C	0.0024882	0.0051283	0.0004323	0.0001119	0.0002422	0.0008663	0.0006645	0.000542	0.0008027	0.0013829	0.0002576	0.0011586	0.005435	0.0026737	0.0010214	0.0009001	0.0034604	0.0042005	0.0032853	0.0042531	0.0041728
YCR097W	1.0287719	1.0106299	1.0677345	1.0826587	1.0025668	1.0182782	1.0371296	1.0982171	1.0568667	1.0079873	0.9753374	0.9151779	1.0064905	1.0441138	1.053054	1.0262445	1.0671834	1.0039	0.9915493	0.8819115	0.9799189
YGL089C	0.0722841	0.0554421	0.0633202	0.0872701	0.0702669	0.074996	0.0657919	0.0865089	0.0618907	0.0913277	0.0535242	0.0388662	0.0469197	0.0568706	0.0463608	0.0642707	0.0539641	0.0586618	0.0561152	0.072477	0.0800936
YHL040C	0.3967515	0.4907957	0.5038686	0.4853202	0.5198202	0.5863473	0.5337957	0.4676136	0.5603403	0.5221986	0.4866554	0.5138785	0.5275138	0.5713952	0.5572897	0.5775001	0.5479784	0.5938681	0.6398344	0.5361881	0.5798812
YHL039W	0.6163065	0.7083385	0.7189052	0.7098257	0.7227417	0.7073903	0.7384691	0.7163496	0.6809985	0.6344964	0.7648363	0.7082904	0.7061244	0.6695895	0.7557366	0.7915007	0.7548421	0.7755508	0.7708458	0.7651122	0.7767298
YIL133C	0.8013085	0.1871097	0.1451005	0.1520604	0.1157564	0.1305479	0.1539359	0.1523033	0.1255842	0.130869	0.1476632	0.8060694	0.8544807	0.8915686	0.8278746	0.8627201	0.7993852	0.8906664	0.8194278	0.8786204	0.8048569
YKR102W	0.3724205	0.3965266	0.6411171	0.8331756	0.874607	0.825945	0.8938174	0.863228	0.8212638	0.8423259	0.9331876	0.7363966	0.5586227	0.4573138	0.4279983	0.4279758	0.3740331	0.4023858	0.4247415	0.48566	0.3855605
YOR319W	0.6930871	0.716065	0.6789184	0.6684779	0.6887236	0.666078	0.717436	0.6277959	0.5559252	0.6234714	0.6664946	0.6692102	0.6222307	0.6738535	0.6751865	0.6578702	0.6217027	0.6565157	0.6214313	0.6502582	0.6889489
YPR065W	0.7455613	0.6847806	0.6402543	0.6760278	0.6947784	0.7893917	0.7875738	0.647078	0.6260991	0.7132736	0.7508051	0.7049556	0.7116454	0.7874434	0.7367957	0.6730915	0.7445433	0.7812214	0.6745908	0.6414111	0.6081484
YOR318C	0.1092997	0.0913067	0.1186212	0.1399122	0.1214064	0.1105103	0.0963727	0.1018966	0.1210799	0.1144588	0.1207744	0.1567141	0.1023743	0.1107309	0.1301913	0.1397139	0.1245548	0.0849439	0.0843948	0.1068953	0.0860563
YOL077WA	0.1721974	0.407148	0.4105655	0.49447	0.4624298	0.4393703	0.4209589	0.4434574	0.4884884	0.4447406	0.4381559	0.2998505	0.2692028	0.2117579	0.1517652	0.0991301	0.0513732	0.049361	0.1059897	0.1451889	0.1935387
YJL219W	0.264927	0.2001945	0.2564324	0.3016292	0.2999269	0.2992657	0.3281538	0.2945895	0.2746107	0.3164385	0.3207808	0.2825885	0.2942312	0.2893686	0.2356087	0.2940341	0.2827438	0.2858548	0.2771884	0.2413336	0.1997343
