YGR036C	YDL214C	1
YGR246C	YDL175C	1
YGR246C	YDR501W	1
YGR246C	YDL113C	1
YGR246C	YNR058W	1
YGR246C	YDR168W	1
YGR246C	YPR130C	1
YGR246C	YKL108W	1
YGR246C	YPR047W	1
YGR246C	YMR110C	1
YGR246C	YDR235W	1
YGR246C	YPR133C	1
YGR246C	YGR112W	1
YGR246C	YBR273C	1
YGR246C	YDL112W	1
YGR246C	YBL034C	1
YGR246C	YBR221C	1
YGR246C	YPR133WA	1
YGR246C	YDR185C	1
YGR246C	YER082C	1
YGR246C	YOR350C	1
YGR246C	YDL216C	1
YGR246C	YGR247W	1
YGR246C	YDR303C	1
YGR246C	YHL009WA	1
YGR246C	YAL058CA	1
YGR246C	YBR274W	1
YGR246C	YNR057C	1
YGR246C	YAL056W	1
YGR246C	YCR030C	1
YGR246C	YDR228C	1
YGR246C	YFR049W	1
YGR246C	YHR058C	1
YGR246C	YER162C	1
YGR246C	YDR229W	1
YGR246C	YHL017W	1
YGR246C	YPL243W	1
YGR246C	YHR002W	1
YGR246C	YNL261W	1
YGR246C	YPR045C	1
YGR246C	YBL025W	1
YGR246C	YFL044C	1
YGR246C	YDR241W	1
YGR246C	YDL176W	1
YGR246C	YDL231C	1
YGR246C	YDR451C	1
YGR246C	YBR294W	1
YGR246C	YHR059W	1
YGR246C	YDL230W	1
YGR246C	YER139C	1
YGR246C	YER140W	1
YGR246C	YLL067C	1
YGR246C	YLR089C	1
YGR246C	YMR231W	1
YGR246C	YDL107W	1
YGR246C	YPR046W	1
YGR246C	YDR246W	1
YGR246C	YDR161W	1
YGR246C	YIR018W	1
YGR246C	YLR272C	1
YGR246C	YDL160C	1
YGR246C	YLL066C	1
YGR246C	YGL096W	1
YGR246C	YLL065W	1
YGR246C	YHL048W	1
YGR246C	YMR016C	1
YGR246C	YIL177C	1
YGR246C	YHL049C	1
YGR246C	YNL339C	1
YGR246C	YPL283C	1
YGR246C	YNL336W	1
YGR246C	YLR462W	1
YGR246C	YEL074W	1
YGR246C	YDR544C	1
YGR246C	YMR182C	1
YGR246C	YNL337W	1
YGR246C	YML113W	1
YGR246C	YGL013C	1
YGR246C	YPR202W	1
YGR246C	YDL083C	1
YGR246C	YHR091C	1
YGR246C	YGR296W	1
YGR246C	YBL111C	1
YGR246C	YDL170W	1
YGR246C	YLR467W	1
YGR246C	YLR465C	1
YGR246C	YER189W	1
YGR246C	YBR182C	1
YGR246C	YIL174W	1
YGR246C	YPL248C	1
YGR246C	YBL109W	1
YGR246C	YBL113C	1
YGR246C	YKR034W	1
YGR246C	YCR041W	1
YGR246C	YJL056C	1
